region,destRegion,packetTransmit,packetReceive,packetLossCount,packetLossRate,rttMin,rttAvg,rttMax,rttMdev,packetDuplicateCount,packetDuplicateRate
NA,NA,100,100,0,0.0,62.122,62.276,64.381,0.291,0,0.0
NA,EU,100,99,1,1.0,194.231,196.689,355.139,16.079,0,0.0
NA,EU,100,100,0,0.0,142.469,142.666,145.537,0.547,0,0.0
NA,EU,100,100,0,0.0,160.413,160.597,163.627,0.501,0,0.0
NA,AS,100,100,0,0.0,173.11,173.218,173.65,0.463,0,0.0
NA,EU,100,100,0,0.0,162.793,178.795,328.788,23.267,0,0.0
NA,NA,100,100,0,0.0,19.907,22.513,98.014,9.232,0,0.0
NA,OC,100,100,0,0.0,166.168,166.556,168.354,0.565,0,0.0
NA,AS,100,100,0,0.0,137.18,137.487,138.447,0.507,0,0.0
NA,EU,100,96,4,4.0,195.893,200.075,201.89,1.97,0,0.0
NA,EU,100,100,0,0.0,160.343,160.568,161.476,0.303,0,0.0
NA,EU,100,100,0,0.0,155.304,155.392,155.641,0.536,0,0.0
NA,EU,100,100,0,0.0,160.898,160.986,161.128,0.47,0,0.0
NA,AS,100,100,0,0.0,153.094,153.548,154.098,0.339,0,0.0
NA,NA,100,100,0,0.0,66.095,66.159,66.543,0.326,0,0.0
NA,EU,100,100,0,0.0,164.312,164.441,166.539,0.354,0,0.0
NA,CN,100,100,0,0.0,148.933,149.137,151.387,0.552,0,0.0
NA,NA,100,100,0,0.0,34.175,36.464,45.536,1.879,0,0.0
NA,AS,100,100,0,0.0,186.483,186.605,187.421,0.306,0,0.0
NA,EU,100,100,0,0.0,170.57,170.86,172.042,0.472,0,0.0
NA,EU,100,100,0,0.0,170.25,170.946,178.053,1.328,0,0.0
NA,EU,100,100,0,0.0,159.877,164.177,174.667,2.755,0,0.0
NA,NA,100,100,0,0.0,60.953,70.378,86.212,3.888,0,0.0
NA,EU,100,100,0,0.0,146.724,146.827,148.235,0.51,0,0.0
NA,EU,100,100,0,0.0,204.611,204.819,206.078,0.469,0,0.0
NA,AS,100,100,0,0.0,131.545,131.682,132.444,0.272,0,0.0
NA,NA,100,100,0,0.0,21.545,23.975,29.787,2.746,0,0.0
NA,EU,100,100,0,0.0,151.439,152.004,199.918,4.836,0,0.0
NA,NA,100,100,0,0.0,87.673,107.792,217.793,25.269,0,0.0
NA,NA,100,100,0,0.0,26.609,26.975,28.056,0.242,0,0.0
NA,EU,100,100,0,0.0,143.295,143.405,143.816,0.432,0,0.0
NA,EU,100,100,0,0.0,158.947,159.2,162.505,0.546,0,0.0
NA,NA,100,100,0,0.0,38.874,39.447,42.696,0.86,0,0.0
NA,EU,100,99,1,1.0,187.778,187.882,188.75,0.558,0,0.0
NA,NA,100,100,0,0.0,40.383,40.514,42.155,0.322,0,0.0
NA,CN,100,81,19,19.0,185.741,185.907,187.649,0.633,0,0.0
NA,EU,100,81,19,19.0,169.128,169.618,177.047,0.91,0,0.0
NA,EU,100,77,23,23.0,174.143,177.418,189.141,2.994,0,0.0
NA,NA,100,100,0,0.0,1.778,1.887,2.549,0.105,0,0.0
NA,CN,100,28,72,72.0,186.417,209.773,214.475,6.873,0,0.0
NA,AS,100,98,2,2.0,161.796,162.92,165.589,1.463,0,0.0
NA,EU,100,100,0,0.0,162.295,162.438,164.234,0.526,0,0.0
NA,EU,100,100,0,0.0,166.194,166.28,166.804,0.408,0,0.0
NA,EU,100,100,0,0.0,192.109,192.479,193.63,0.354,0,0.0
NA,EU,100,100,0,0.0,187.778,188.187,195.05,0.915,0,0.0
NA,EU,100,100,0,0.0,166.173,166.285,166.953,0.482,0,0.0
NA,EU,100,100,0,0.0,162.165,162.237,162.525,0.533,0,0.0
NA,AS,100,100,0,0.0,179.042,179.199,179.571,0.23,0,0.0
NA,NA,100,100,0,0.0,61.239,122.548,302.31,54.701,0,0.0
NA,CN,100,86,14,14.0,243.001,248.487,249.406,0.847,0,0.0
NA,EU,100,100,0,0.0,158.52,158.599,158.809,0.296,0,0.0
NA,NA,100,99,1,1.0,164.182,164.994,173.811,1.279,0,0.0
NA,NA,100,100,0,0.0,84.179,95.731,250.432,24.517,0,0.0
NA,NA,100,100,0,0.0,11.994,13.52,21.766,1.591,0,0.0
NA,EU,100,100,0,0.0,185.466,185.986,189.103,0.714,0,0.0
NA,EU,100,100,0,0.0,155.341,155.472,156.038,0.443,0,0.0
NA,NA,100,100,0,0.0,84.075,84.815,88.459,0.919,0,0.0
NA,NA,100,100,0,0.0,111.274,111.559,112.321,0.325,0,0.0
NA,AS,100,100,0,0.0,167.888,168.086,168.605,0.534,0,0.0
